,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
BC_6MONTH,0.31419618803995647,-0.7409500379864362,0.05363126219582176,-0.5844026560093629,0.08518785594416083,-0.020112919759715887,-0.00949221407260533,-0.0003951522183022511,-0.010920685813840288
BC_1YEAR,0.3249234900075123,-0.4467626903610906,0.22391722498017155,0.7858679059556153,0.14483662097647917,-0.07448545124600073,-0.022038824853312256,-0.0048846331332993605,-0.00807689444075304
BC_2YEAR,0.33165074176279846,0.15818232482171773,0.5329109677194002,-0.07639732284820733,-0.7439239196133725,-0.1424075811308548,-0.037452280148708134,0.0027900648203157312,0.006504772223434243
BC_3YEAR,0.3346499042094914,0.26819580025293893,0.3866433891166815,-0.0957348936939682,0.35755173643478216,0.7235471526736935,-0.06741558034358403,-0.02401880675708252,-0.030605296930471208
BC_5YEAR,0.3386679280310639,0.2744371508732031,0.10621265826750997,-0.10141696524349031,0.34538157414151655,-0.4401890318368979,0.67935917309698,-0.11729349613583558,-0.008960430544218401
BC_7YEAR,0.34024213265357295,0.23200098633240573,-0.09409963444186004,-0.06680819101513358,0.232689060855758,-0.3408767378131487,-0.4872446561830429,0.6397848351485148,0.004429247150542805
BC_10YEAR,0.3404521164648579,0.1499191853246132,-0.262343873843243,-0.017121721418769997,0.04774047056730936,-0.14949975754620995,-0.43033208754933167,-0.7026052217724792,0.29837895285341043
BC_20YEAR,0.33781663101484644,0.05144932676079165,-0.44091978059304304,0.0567883149437208,-0.1954565240706696,0.13351439758807446,0.05156699768557894,-0.07027485854572711,-0.7886511692721029
BC_30YEAR,0.33650306693719,-0.013509321180450048,-0.4797156690890572,0.08727340915059009,-0.27673869243949134,0.316397504263779,0.32664285149819394,0.2787763328311522,0.536410227614702
